GI	OM	Gender	Age	EnrolmentFeeInCOP	PlaceOfOrigin	TypeOfHighSchool	GeneralTestScore	Biology	HistoryAndGeography	Philosophy	Phisics	English	Language	Math	Chemistry	NumberOfSemesters	Censored	NumberOfCoursesPassed
125	27	1	20	4499	0	0	60,4	59	60	49	56	47	58	68	63	2	0	7
128	15	1	20,7	449904	0	0	58,2	55	47	53	55	45	62	64	46	3	0	8
115	30	1	20,8	449904	0	0	57	48	50	45	49	43	69	63	53	4	0	9
132	27	1	20,8	449904	0	0	61,2	63	68	53	65	47	57	63	56	4	0	12
133	25	1	20,8	449904	0	0	57,8	44,4	46,4	56,8	63,7	48,4	47,2	63	49,4	2	0	9
121	26	1	20,8	4499	0	0	65,6	48	63	53	65	45	58	75	53	7	1	42
169	28	1	23,4	1928160	0	1	66,5	62,4	56,3	53,9	52,5	97,3	52,8	80,4	64,8	7	1	36
111	22	1	21,3	112476	0	0	59,4	59	63	54	52	52	63	63	56	1	0	5
120	18	1	21,2	431158	0	0	56,5	48	65	37	49	50	69	59	53	2	0	4
113	26	1	20,4	449904	0	0	56	55	49	49	51	60	49	64	52	7	1	30
97	11	1	20,9	431158	0	0	59,2	55	64	37	65	47	57	63	53	2	0	7
99	8	1	21,6	449904	0	0	54,8	52,3	48,3	51,9	63,9	52,1	40,1	58,4	51,6	7	1	25
122	29	1	21,4	431158	0	0	61,5	63	68	69	55	52	57	64	55	1	0	0
121	25	1	20,3	431158	0	0	53,6	41,1	55,8	53,9	54,1	49,7	47,2	55,6	43,7	1	0	0
85	20	1	22	449904	0	0	63,2	51	50	49	65	55	50	75	50	3	0	11
160	24	1	20,2	431158	0	0	61,3	59	52	53	63	77	58	64	52	4	0	7
153	30	1	20,8	449904	0	0	69,5	68	56	60	63	58	53	86	47	1	0	2
96	11	0	21,6	456194	0	0	53,3	40,1	50,7	55	57,6	45,8	43,9	55,9	46,2	2	0	5
123	11	0	20,7	431158	0	0	58	59	50	41	49	43	46	75	56	1	0	4
92	17	1	21,2	449904	0	0	55,8	48	39	44	59	45	63	60	46	1	0	4
147	26	1	22,1	449904	0	0	61,5	58	77	48	55	19	63	69	67	7	1	37
120	25	1	22,8	416525	1	0	54,4	66	60,3	59,7	76,3	50,9	35,6	48,1	54,1	1	0	2
128	27	1	20,4	449904	0	0	55	41	42	40	59	53	45	64	50	7	1	31
104	15	1	21,2	456194	0	0	53,8	55	54	49	59	39	49	56	33	2	0	2
131	25	1	20,1	456194	0	0	54	51	41	49	56	52	69	52	56	7	1	38
115	29	1	20,9	449904	0	0	57,6	59	66	54	49	49	54	63	50	1	0	0
117	27	1	27,7	449904	1	0	49,2	46,2	49,9	53,9	43,5	39,6	54,5	51,4	51	3	0	10
92	19	1	20,2	449904	0	0	48,1	37	32	33	60	41	37	55	41	4	0	9
105	25	0	22,5	393666	0	0	58,1	49,5	55,3	57,9	60,8	42,1	47,4	63,5	56,6	4	0	12
109	26	1	22,1	431158	0	0	42,2	49,1	43,9	37	45,2	45,9	50,4	38	45,8	2	0	2
101	17	1	21,9	431158	0	0	51,1	51	48	36	55	47	54	53	41	2	0	0
105	16	1	21,7	449904	0	0	56,5	41,1	58,1	50,9	57,4	47,6	43,8	63	49,4	4	0	8
105	25	1	29,1	449904	0	0	53,5	49	48,5	50	55	47	56	53	49	1	0	1
107	24	0	25,1	103103	0	0	52	50,3	52,8	55,4	51,2	44,7	52,3	52,1	40,7	4	0	12
86	18	0	24,4	412412	0	0	40	32,5	52,1	36,4	38,7	30,2	49	36,4	36,2	2	0	5
100	28	1	20,5	449904	0	0	50,5	58	49	33	49	30	49	59	56	1	0	0
89	14	1	22,3	412412	0	0	52,1	55	57	54	52	45	50	52	53	3	0	6
107	17	1	20,5	449904	0	0	63,7	90	66	60	65	43	58	68	50	7	1	22
88	20	1	27,8	412412	1	0	54,8	42,5	44,4	49,9	56,6	48,5	54,7	58,5	41,1	3	0	7
87	19	1	23	412412	0	0	43,8	44,4	43,7	46,7	42,8	43,5	47,2	42,4	43,6	3	0	8
143	30	1	26,5	449904	0	0	51,2	53,4	50,4	22,1	42,9	43,4	62,7	48,7	50,2	7	1	31
71	18	1	23,5	449904	0	0	41,9	40,3	41,4	25,4	52,5	36,7	47	39,6	40,6	3	1	4
109	25	1	20,9	431158	0	0	52,9	55	50	33	63	53	46	56	47	4	0	10
92	11	0	20,6	964080	0	1	41,2	20	41	33	37	49	50	41	38	5	1	8
121	15	1	21,1	449904	0	0	51,3	48	55	37	49	43	54	55	41	7	1	30
110	22	1	23,4	412412	0	0	44,5	40,2	36,5	33,3	42,8	46	45,1	49,8	43,6	3	0	8
101	19	1	24,7	412412	0	0	54,7	63,2	43,9	56,8	60,8	53,3	43,8	58,1	39,9	1	0	1
59	10	1	28,4	412412	0	0	43,3	39	42	51	36	43	54	38	35	4	0	10
130	25	1	22,1	431158	0	0	50,9	42,5	53,3	34,5	48,3	45,9	50,5	56,5	49,1	7	1	33
118	14	1	21,1	431158	0	0	58,5	53,2	55,8	40,5	57,4	48,4	50,5	68,4	59,5	5	1	12
105	22	1	38,3	449904	0	0	46,2	43,2	44,1	48,8	48	43,5	41,4	47,3	44	6	1	15
123	16	1	20,6	431158	1	1	54,8	43,4	57,6	41,4	42,8	66	43,9	66,2	54,1	1	0	3
101	27	1	20,3	964080	0	1	55,7	45	49	49	49	58	53	63	53	6	1	39
116	16	1	20,6	431158	0	0	55,3	55	42	60	56	39	45	63	38	1	0	2
127	32	1	23,7	412412	1	0	56	54,5	53,1	46,5	43,9	49,5	53,6	66,9	50,7	7	1	43
